Donor_ID,_PATIENT
SP135354,DO52135
SP111009,DO50435
SP112969,DO51141
SP59452,DO27853
SP116221,DO52498
SP107025,DO48689
SP135323,DO217818
SP99209,DO45243
SP116774,DO52721
SP79357,DO36054
SP78820,DO35623
SP101740,DO46424
SP125722,DO221543
SP78668,DO35547
SP135390,DO222288
SP107784,DO49079
SP103595,DO47124
SP107547,DO48965
SP101700,DO46404
SP79443,DO36139
SP117908,DO35128
SP101891,DO46493
SP99213,DO45245
SP111114,DO50384
SP115105,DO7172
SP112937,DO51125
SP125741,DO51531
SP116271,DO52513
SP103396,DO47048
SP79285,DO35982
SP116679,DO52680
SP116676,DO52679
SP102143,DO46593
SP135278,DO218484
SP107028,DO48691
SP112883,DO51098
SP135287,DO218693
SP102611,DO46783
SP59360,DO27807
SP13278,DO6350
SP135448,DO52149
SP117758,DO51187
SP112929,DO51121
SP110824,DO34728
SP112833,DO51073
SP79470,DO36167
SP102113,DO46586
SP50163,DO23541
SP76891,DO34801
SP23459,DO10819
SP111000,DO50325
SP59384,DO27819
SP135345,DO218243
SP79309,DO36006
SP135282,DO52123
SP99217,DO45247
SP23479,DO10833
SP79383,DO36080
SP111045,DO50399
SP79187,DO35883
SP116756,DO52712
SP102716,DO46826
SP124447,DO220906
SP102733,DO46830
SP125724,DO35136
SP110861,DO50321
SP13319,DO6390
SP135288,DO52124
SP79315,DO36012
SP59332,DO27793
SP99221,DO45249
SP111047,DO50454
SP124344,DO220865
SP102989,DO46909
SP135475,DO52155
SP76843,DO34785
SP50165,DO23542
SP117037,DO51505
SP13280,DO6352
SP79148,DO35845
SP107030,DO48692
SP116616,DO52653
SP124369,DO220882
SP117509,DO218306
SP124981,DO221129
SP50167,DO23543
SP135416,DO52142
SP112777,DO51045
SP101521,DO46328
SP101526,DO46330
SP125777,DO221547
SP99225,DO45251
SP117291,DO49451
SP117331,DO51180
SP71456,DO33368
SP79264,DO35961
SP103603,DO47128
SP59368,DO27811
SP79333,DO36030
SP99229,DO45253
SP116223,DO52500
SP79204,DO35901
SP125793,DO51525
SP101540,DO46336
SP125744,DO51480
SP99233,DO45255
SP125795,DO51519
SP107386,DO48907
SP111088,DO50329
SP117621,DO218411
SP101604,DO46366
SP116648,DO52666
SP107032,DO48693
SP111056,DO50408
SP111089,DO50434
SP98843,DO45039
SP108065,DO49183
SP59420,DO27837
SP50169,DO23544
SP78921,DO35723
SP107545,DO48963
SP79419,DO36115
SP13363,DO6434
SP79198,DO35895
SP79339,DO36036
SP124348,DO220867
SP111038,DO50388
SP98863,DO45059
SP135209,DO218089
SP50171,DO23545
SP124295,DO220850
SP13347,DO6418
SP116730,DO52699
SP116706,DO52689
SP102921,DO46885
SP116229,DO52506
SP98891,DO45087
SP117425,DO218227
SP110849,DO50453
SP50173,DO23546
SP70860,DO33184
SP125797,DO51475
SP125703,DO221539
SP107440,DO48922
SP79066,DO35763
SP135468,DO52154
SP50175,DO23547
SP112887,DO51100
SP135240,DO222285
SP71084,DO33248
SP23477,DO10831
SP135463,DO52153
SP72262,DO32875
SP107034,DO48694
SP69705,DO32863
SP124444,DO220905
SP125761,DO51512
SP107786,DO49080
SP13365,DO6436
SP79411,DO36107
SP50177,DO23548
SP117661,DO51483
SP101548,DO46340
SP125776,DO35198
SP101523,DO46329
SP103742,DO47174
SP116654,DO52669
SP59308,DO27781
SP50179,DO23549
SP59288,DO27771
SP98885,DO45081
SP124365,DO220880
SP111164,DO50441
SP79279,DO35976
SP117930,DO218695
SP112877,DO51095
SP102090,DO46571
SP112871,DO51092
SP107362,DO48894
SP99237,DO45257
SP116252,DO52509
SP71576,DO33408
SP115099,DO7136
SP79451,DO36147
SP2357,DO1020
SP124420,DO220896
SP116764,DO52716
SP103555,DO47108
SP101795,DO46448
SP117261,DO49420
SP99241,DO45259
SP116622,DO52656
SP78722,DO35577
SP111057,DO50409
SP117482,DO218280
SP116278,DO52514
SP103523,DO47096
SP111119,DO50389
SP2143,DO1000
SP2144,DO1001
SP2145,DO1002
SP2147,DO1004
SP2146,DO1003
SP2149,DO1006
SP2148,DO1005
SP2150,DO1007
SP2152,DO1009
SP2349,DO1018
SP2155,DO1012
SP2154,DO1011
SP2153,DO1010
SP2160,DO1017
SP2151,DO1008
SP97681,DO44740
SP107037,DO48695
SP79231,DO35928
SP111095,DO50348
SP125698,DO51530
SP103575,DO47116
SP125714,DO51502
SP108123,DO49204
SP107041,DO48697
SP135182,DO218068
SP112875,DO51094
SP79225,DO35922
SP74896,DO34312
SP116772,DO52720
SP59316,DO27785
SP23431,DO10806
SP102187,DO46611
SP50181,DO23550
SP112913,DO51113
SP78729,DO35584
SP101515,DO46325
SP103045,DO46925
SP71950,DO33544
SP117113,DO217939
SP117402,DO218205
SP117136,DO217962
SP117378,DO218182
SP116947,DO217787
SP117369,DO218173
SP112849,DO51081
SP117244,DO218059
SP117162,DO217987
SP124191,DO220820
SP117079,DO217908
SP117344,DO218150
SP118074,DO218828
SP117598,DO218388
SP117312,DO218121
SP118038,DO218796
SP117552,DO218347
SP118073,DO218827
SP117933,DO218698
SP118012,DO218770
SP124364,DO220873
SP101931,DO46503
SP99249,DO45263
SP135422,DO52143
SP112881,DO51097
SP107441,DO48923
SP116815,DO52735
SP116853,DO52743
SP116901,DO52756
SP116830,DO52738
SP116868,DO52747
SP116802,DO52732
SP116788,DO52727
SP116885,DO52751
SP116834,DO52739
SP116913,DO52760
SP116799,DO52732
SP116920,DO52762
SP116835,DO52739
SP116852,DO52743
SP116789,DO52727
SP116902,DO52756
SP116871,DO52749
SP116820,DO52736
SP116889,DO52752
SP116923,DO52762
SP116829,DO52738
SP116872,DO52749
SP116794,DO52729
SP116904,DO52757
SP116806,DO52733
SP116857,DO52744
SP116888,DO52752
SP116818,DO52736
SP116837,DO52740
SP116791,DO52729
SP116905,DO52757
SP116804,DO52733
SP116819,DO52736
SP116856,DO52744
SP116839,DO52740
SP116925,DO52763
SP116878,DO52750
SP116893,DO52753
SP116876,DO52750
SP116927,DO52763
SP116909,DO52758
SP116795,DO52731
SP116826,DO52737
SP116891,DO52753
SP116860,DO52745
SP116231,DO52508
SP116848,DO52742
SP116910,DO52758
SP116797,DO52731
SP116862,DO52745
SP116823,DO52737
SP116897,DO52754
SP116846,DO52742
SP116784,DO52726
SP116896,DO52754
SP116824,DO52737
SP116881,DO52751
SP116812,DO52735
SP116915,DO52760
SP116786,DO52726
SP116866,DO52747
SP116919,DO52761
SP116851,DO52743
SP77972,DO35186
SP99253,DO45265
SP59324,DO27789
SP112989,DO51151
SP101610,DO46368
SP103455,DO47072
SP125579,DO221503
SP111131,DO50424
SP111126,DO50419
SP111146,DO50428
SP111123,DO50416
SP111127,DO50420
SP111121,DO50414
SP111156,DO50432
SP111122,DO50415
SP111129,DO50422
SP111152,DO50430
SP111154,DO50431
SP111124,DO50417
SP111128,DO50421
SP111145,DO50427
SP111143,DO50425
SP111125,DO50418
SP111130,DO50423
SP125584,DO221504
SP111144,DO50426
SP116697,DO52686
SP108049,DO49178
SP109003,DO49533
SP96888,DO6946
SP77866,DO35132
SP111064,DO50337
SP50183,DO23551
SP13327,DO6398
SP117003,DO217836
SP99257,DO45267
SP106758,DO48557
SP124307,DO220852
SP116341,DO52543
SP116331,DO52538
SP116351,DO52548
SP116371,DO52558
SP116361,DO52553
SP116343,DO52544
SP116333,DO52539
SP116373,DO52559
SP116363,DO52554
SP116353,DO52549
SP116345,DO52545
SP116365,DO52555
SP116375,DO52560
SP116335,DO52540
SP117812,DO218583
SP117354,DO218159
SP117370,DO218174
SP117956,DO218719
SP116991,DO217826
SP117629,DO218419
SP124199,DO220824
SP124195,DO220822
SP117850,DO218621
SP117127,DO217953
SP117614,DO218404
SP116948,DO217788
SP117409,DO218212
SP117593,DO218384
SP117372,DO218176
SP118077,DO218831
SP117840,DO218611
SP117363,DO218168
SP117887,DO218656
SP116946,DO217786
SP117901,DO218669
SP117454,DO218254
SP117247,DO218062
SP124197,DO220823
SP117983,DO218742
SP117676,DO218457
SP117011,DO217844
SP117728,DO218506
SP117698,DO218478
SP117618,DO218408
SP117257,DO218072
SP117078,DO217907
SP117944,DO218709
SP117362,DO218167
SP117470,DO218269
SP117586,DO218377
SP117639,DO218428
SP117834,DO218605
SP117105,DO217931
SP117785,DO218560
SP117882,DO218651
SP117709,DO218488
SP124201,DO220825
SP117778,DO218553
SP117032,DO217865
SP117710,DO218489
SP117538,DO218333
SP124207,DO220828
SP117800,DO218573
SP117724,DO218502
SP116355,DO52550
SP116347,DO52546
SP116367,DO52556
SP106835,DO36221
SP106834,DO36221
SP106825,DO48577
SP106841,DO36223
SP106827,DO48577
SP106833,DO36221
SP106839,DO36223
SP116339,DO52542
SP116357,DO52551
SP116359,DO52552
SP106840,DO36223
SP106828,DO48577
SP106829,DO48577
SP116369,DO52557
SP106836,DO36221
SP106837,DO36221
SP116377,DO52561
SP116379,DO52562
SP78873,DO35676
SP59304,DO27779
SP116250,DO52509
SP125704,DO35406
SP116620,DO52655
SP107044,DO48700
SP112951,DO51132
SP79267,DO35964
SP135484,DO52159
SP117290,DO49463
SP103856,DO47249
SP112845,DO51079
SP116740,DO52704
SP50185,DO23552
SP125738,DO51503
